season,player,salary,real_value,difference,games,status,player_hh
2019-20,Luka Doncic,7683360.0,38176071.0,30492711.0,67.0,U,Luka Doncic
2008-09,LeBron James,14410581.0,44364007.0,29953426.0,95.0,U,LeBron James
2008-09,Chris Paul,4574189.0,32951526.0,28377337.0,83.0,U,Chris Paul
2020-21,Luka Doncic,8049360.0,35882465.0,27833105.0,73.0,U,Luka Doncic
2007-08,Chris Paul,3615960.0,31097256.0,27481296.0,92.0,U,Chris Paul
2009-10,LeBron James,15779912.0,42975138.0,27195226.0,87.0,U,LeBron James
2021-22,Luka Doncic,10174391.0,37100839.0,26926448.0,80.0,U,Luka Doncic
2015-16,Stephen Curry,11370786.0,36806765.0,25435979.0,97.0,U,Stephen Curry
2005-06,LeBron James,4621800.0,29405451.0,24783651.0,92.0,U,LeBron James
2020-21,Trae Young,6571800.0,30992508.0,24420708.0,79.0,U,Trae Young
2016-17,Giannis Antetokounmpo,2995420.0,27254256.0,24258836.0,86.0,U,Giannis Antetokounmpo
2005-06,Dwyane Wade,3031920.0,27043723.0,24011803.0,98.0,U,Dwyane Wade
2020-21,Donovan Mitchell,5195501.0,29154504.0,23959003.0,63.0,U,Donovan Mitchell
2021-22,Trae Young,8326471.0,31505728.0,23179257.0,83.0,U,Trae Young
2016-17,Isaiah Thomas,6587131.0,29049010.0,22461879.0,91.0,U,Isaiah Thomas
2009-10,Kevin Durant,4796880.0,26886658.0,22089778.0,88.0,U,Kevin Durant
2011-12,LeBron James,16022500.0,37589412.0,21566912.0,85.0,U,LeBron James
2019-20,Trae Young,6273000.0,27695149.0,21422149.0,60.0,U,Trae Young
2014-15,Anthony Davis,5607240.0,26924838.0,21317598.0,72.0,U,Anthony Davis
2017-18,Nikola Jokic,1471382.0,22614973.0,21143591.0,75.0,U,Nikola Jokic
2012-13,LeBron James,17545000.0,38291757.0,20746757.0,99.0,U,LeBron James
2016-17,Stephen Curry,12112359.0,32627372.0,20515013.0,96.0,U,Stephen Curry
2004-05,LeBron James,4320360.0,24641393.0,20321033.0,80.0,U,LeBron James
2021-22,Ja Morant,9603360.0,29652416.0,20049056.0,66.0,U,Ja Morant
2019-20,Domantas Sabonis,3529554.0,23528468.0,19998914.0,62.0,U,Domantas Sabonis
2006-07,Dwyane Wade,3841443.0,23838823.0,19997380.0,55.0,U,Dwyane Wade
